p cnf 15 50
1 3 -5 0
-2 -4 -6 0
7 8 -10 0
-8 -9 11 0
-10 12 14 0
11 -13 -15 0
-1 -7 13 0
2 4 14 0
-3 -5 15 0
6 9 12 0
-7 -8 11 0
5 -6 -10 0
-2 -3 -4 0
14 15 -1 0
-13 -12 2 0
1 -2 3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
-1 2 -3 0
4 -5 6 0
7 -8 9 0
-10 11 -12 0
13 -14 15 0
-1 -2 -3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
1 -2 3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
1 -2 3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
1 -2 3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
1 -2 3 0
4 5 6 0
-7 -8 -9 0
10 11 12 0
-13 -14 -15 0
